"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","RT @epetersmtl: .@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the variati…",FALSE,0,NA,2018-10-18 17:45:11,FALSE,NA,"1052978915193413633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TChanMD",5,TRUE,FALSE,NA,NA
"30","Great conversations at #LearningAnalytics 2.0 #ICRE2018 - what a fantastic group. https://t.co/KfA14YmnDo",FALSE,2,NA,2018-10-18 17:43:14,FALSE,NA,"1052978425474863104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",2,FALSE,FALSE,NA,NA
"31","RT @RB_Cavalcanti: Working through case studies at the #ICRE2018 #LearningAnalytics 2.0 precon in Halifax. Thanks for the great engagement.…",FALSE,0,NA,2018-10-18 17:41:25,FALSE,NA,"1052977966295085056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrthopodReg",2,TRUE,FALSE,NA,NA
"32","Onto visualization options in #learninganalytics led by @Brent_Thoma #ICRE2018 https://t.co/kHrjWaC5z6",FALSE,1,NA,2018-10-18 17:38:13,FALSE,NA,"1052977160225357824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",0,FALSE,FALSE,NA,NA
"33","RT @RB_Cavalcanti: Do raters do straight line assessments (halo effect)? Data from @stanhamstra at ACGME allows for analyses of how frequen…",FALSE,0,NA,2018-10-18 17:32:35,FALSE,NA,"1052975743330705408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrthopodReg",5,TRUE,FALSE,NA,NA
"34","RT @epetersmtl: .@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the variati…",FALSE,0,NA,2018-10-18 17:31:06,FALSE,NA,"1052975372994637825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sherbino",5,TRUE,FALSE,NA,NA
"35","RT @drjfrank: #ICRE2018 #meded #learninganalytics guru ⁦@stanhamstra⁩ sharing his early results from national ⁦@acgme⁩ data: incredible, th…",FALSE,0,NA,2018-10-18 17:29:57,FALSE,NA,"1052975080202940417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boedudley",3,TRUE,FALSE,NA,NA
"36","RT @RB_Cavalcanti: Do raters do straight line assessments (halo effect)? Data from @stanhamstra at ACGME allows for analyses of how frequen…",FALSE,0,NA,2018-10-18 17:29:34,FALSE,NA,"1052974984857960448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boedudley",5,TRUE,FALSE,NA,NA
"37","RT @epetersmtl: .@stanhamstra presenting that there’s always complexity in evaluation data. A number of residents haven’t hit any of their…",FALSE,0,NA,2018-10-18 17:29:01,FALSE,NA,"1052974848798937088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boedudley",3,TRUE,FALSE,NA,NA
"38","RT @epetersmtl: .@CincyIM presenting that when evaluating residents, system noise is incredibly important and only about 20% of the variati…",FALSE,0,NA,2018-10-18 17:14:21,FALSE,NA,"1052971156192579584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrDanSchumacher",5,TRUE,FALSE,NA,NA
